//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Parcial 3 > Pregunta 1,
QuestionText,Que es NodeJS?,
Points,1,
Difficulty,1,
Image,,
Option,100,Un ambiente para ejecutar codigo Javascript
Option,0,Un servidor de Javascript
Option,0,Un framework de Javascript para montar un servidor
Option,0,Una libreria de Javascript con muchas funciones utiles (y/o necesarias)
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Parcial 3 > Pregunta 2,
QuestionText,Cual es la funcion de NPM?,
Points,1,
Difficulty,1,
Image,,
Option,0,Instalar paquetes de Node
Option,100,Manejar paquetes de Node
Option,0,Instalar y manejar Node
Option,0,Configurar e inicializar el proyecto de Node
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Parcial 3 > Pregunta 3,
QuestionText,Que comando se puede usar para ejecutar un archivo de codigo Javascript?,
Points,1,
Difficulty,1,
Image,,
Option,0,$ npm run <archivo>
Option,0,$ node run <archivo>
Option,0,$ npm <archivo>
Option,100,$ node <archivo>
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Parcial 3 > Pregunta 4,
QuestionText,Que archivo se usa para definir dependencias de un proyecto?,
Points,1,
Difficulty,1,
Image,,
Option,100,package.json
Option,0,index.json
Option,0,server.json
Option,0,package-lock.json
Option,0,node_modules.json
Option,0,nodemon.json
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Parcial 3 > Pregunta 5,
QuestionText,Que funcion tiene el comando $npm i <package> ?,
Points,1,
Difficulty,1,
Image,,
Option,100,Instalar el package nombrado
Option,0,Instalar un package aleatorio
Option,0,Inhabilitar el package nombrado
Option,0,Importar el package nombrado
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Parcial 3 > Pregunta 6,
QuestionText,Que funcion tiene el comando $ npm i ?,
Points,1,
Difficulty,1,
Image,,
Option,0,Instalar un package aleatorio
Option,0,Instalar unos packages predefinidos por Node/NPM
